seed,fold,layer,split,cases,accuracy,balanced_accuracy,macro_f1,roc_auc
44,1,f3_bp_trend,training,252,0.8333333333333334,0.8333858267716535,0.8333333333333334,0.9123779527559055
44,1,f3_bp_trend,validation,64,0.734375,0.734375,0.733790066063127,0.8779296875
44,1,final_in_sample_fusion,training,252,0.9523809523809523,0.9523149606299213,0.9523689516129032,0.9900472440944881
44,1,final_in_sample_fusion,validation,64,0.8125,0.8125,0.8123167155425219,0.8974609375
44,2,f1_bp_cssd,training,252,0.6984126984126984,0.6987716535433071,0.6979370386726389,0.7378267716535434
44,2,f1_bp_cssd,validation,64,0.640625,0.640625,0.6405372405372405,0.6943359375
44,2,f2_erd_cssd,training,252,0.876984126984127,0.8768818897637796,0.8769356795160604,0.9617007874015747
44,2,f2_erd_cssd,validation,64,0.796875,0.796875,0.7968253968253969,0.9287109375
44,2,f3_bp_trend,training,252,0.8492063492063492,0.8495748031496063,0.8489685193363194,0.9304566929133858
44,2,f3_bp_trend,validation,64,0.734375,0.734375,0.733790066063127,0.7822265625
44,2,final_in_sample_fusion,training,252,0.9365079365079365,0.9366929133858268,0.936491935483871,0.9874015748031495
44,2,final_in_sample_fusion,validation,64,0.859375,0.859375,0.8590653290922436,0.9208984375
44,3,f1_bp_cssd,training,253,0.6798418972332015,0.6797587801524809,0.6796617322933112,0.7529058867641545
44,3,f1_bp_cssd,validation,63,0.7142857142857143,0.7147177419354839,0.7142137096774194,0.7762096774193548
44,3,f2_erd_cssd,training,253,0.9209486166007905,0.9209473815773028,0.9209473815773028,0.9730033745781776
44,3,f2_erd_cssd,validation,63,0.8571428571428571,0.8578629032258065,0.8569987389659521,0.936491935483871
44,3,f3_bp_trend,training,253,0.8695652173913043,0.869610048743907,0.8695570658542302,0.9298212723409573
44,3,f3_bp_trend,validation,63,0.7619047619047619,0.7631048387096775,0.7609410574247407,0.8195564516129032
44,3,final_in_sample_fusion,training,253,0.9407114624505929,0.940694913135858,0.9407077572064683,0.9919385076865392
44,3,final_in_sample_fusion,validation,63,0.9206349206349206,0.9213709677419355,0.9205548549810845,0.969758064516129
44,4,f1_bp_cssd,training,253,0.6245059288537549,0.6243594550681165,0.623918383952182,0.6706036745406824
44,4,f1_bp_cssd,validation,63,0.5714285714285714,0.5700604838709677,0.5675057208237986,0.6018145161290323
44,4,f2_erd_cssd,training,253,0.9051383399209486,0.905074365704287,0.9051012753188297,0.9742532183477066
44,4,f2_erd_cssd,validation,63,0.8253968253968254,0.8245967741935484,0.8246901087781432,0.9002016129032259
44,4,f3_bp_trend,training,253,0.841897233201581,0.8419572553430821,0.8418749999999999,0.924946881639795
44,4,f3_bp_trend,validation,63,0.7777777777777778,0.7767137096774194,0.776369168356998,0.8618951612903225
44,4,final_in_sample_fusion,training,253,0.9486166007905138,0.9486626671666042,0.9486133895789391,0.9908136482939631
44,4,final_in_sample_fusion,validation,63,0.7936507936507936,0.7918346774193548,0.790268886043534,0.9233870967741935
44,5,f1_bp_cssd,training,254,0.6456692913385826,0.6455233134920635,0.6454714640198511,0.7216021825396827
