seed,fold,fusion_training,subset,validation_cases,accuracy,balanced_accuracy,macro_f1,mean_log_loss
43,4,inner_oof,f1_f2,63,0.5714285714285714,0.5720766129032258,0.5709962168978562,0.6910188886524125
43,4,inner_oof,f1_f3,63,0.5873015873015873,0.5871975806451613,0.5871975806451613,0.649325835852449
43,4,inner_oof,f2_f3,63,0.6031746031746031,0.6033266129032258,0.6031746031746031,0.6559430839975295
43,4,inner_oof,f1_f2_f3,63,0.6031746031746031,0.6033266129032258,0.6031746031746031,0.6564891012613284
43,5,in_sample,f1,62,0.5645161290322581,0.564516129032258,0.5644028103044496,0.7188693233027392
43,5,in_sample,f2,62,0.6290322580645161,0.6290322580645161,0.628935727296383,0.7318514884932547
43,5,in_sample,f3,62,0.6290322580645161,0.6290322580645161,0.6266038229903116,0.633277291089041
43,5,in_sample,f1_f2,62,0.6612903225806451,0.6612903225806451,0.6612021857923497,0.7529563028226842
43,5,in_sample,f1_f3,62,0.6290322580645161,0.6290322580645161,0.628161668839635,0.6301686478640437
43,5,in_sample,f2_f3,62,0.7258064516129032,0.7258064516129032,0.7257351027842831,0.7080471873768183
43,5,in_sample,f1_f2_f3,62,0.7258064516129032,0.7258064516129032,0.7257351027842831,0.6983279911254577
43,5,inner_oof,f1,62,0.532258064516129,0.532258064516129,0.5291961246399581,0.6934503475016193
43,5,inner_oof,f2,62,0.6290322580645161,0.6290322580645161,0.628935727296383,0.6771792593315515
43,5,inner_oof,f3,62,0.6290322580645161,0.6290322580645161,0.6266038229903116,0.6584127775472989
43,5,inner_oof,f1_f2,62,0.6290322580645161,0.6290322580645161,0.628935727296383,0.6778056845580015
43,5,inner_oof,f1_f3,62,0.6290322580645161,0.6290322580645161,0.628935727296383,0.6572176045053316
43,5,inner_oof,f2_f3,62,0.7258064516129032,0.7258064516129032,0.7257351027842831,0.6487521929534831
43,5,inner_oof,f1_f2_f3,62,0.7258064516129032,0.7258064516129032,0.7257351027842831,0.6461122384764703
44,1,in_sample,f1,64,0.453125,0.453125,0.452991452991453,0.721074647465438
44,1,in_sample,f2,64,0.59375,0.59375,0.592156862745098,0.7140147261082366
44,1,in_sample,f3,64,0.625,0.625,0.611336032388664,0.7178547617300293
44,1,in_sample,f1_f2,64,0.546875,0.546875,0.5458771715194519,0.7360418145688469
44,1,in_sample,f1_f3,64,0.59375,0.59375,0.5789473684210527,0.7318185615518379
44,1,in_sample,f2_f3,64,0.625,0.625,0.6190476190476191,0.7387097568737812
