outer_seed,outer_fold,inner_seed,selected_c,c,inner_oof_accuracy,inner_oof_balanced_accuracy,inner_oof_macro_f1,inner_fold_balanced_accuracy_mean,inner_fold_balanced_accuracy_std,inner_training_accuracy_mean
44,3,44003,0.3,0.03,0.5573122529644269,0.5573990751156106,0.5571392848212053,0.5578377016129032,0.05236015416082791,0.7734371195586406
44,3,44003,0.3,0.1,0.5810276679841897,0.5811148606424197,0.580863965991498,0.5817792338709677,0.08302149811114629,0.8287083327865912
44,3,44003,0.3,0.3,0.5968379446640316,0.5968628921384826,0.5968316460442444,0.5971522177419355,0.06518649407897523,0.8945269660480462
44,3,44003,0.3,1.0,0.5849802371541502,0.584989376327959,0.5849802371541503,0.584929435483871,0.035717600288747715,0.9459338427511477
44,3,44003,0.3,3.0,0.5770750988142292,0.5770841144856893,0.5770750988142292,0.5766129032258065,0.056761283413477,0.976259875984318
44,3,44003,0.3,10.0,0.5770750988142292,0.5771153605799275,0.5770486680728069,0.5767389112903225,0.04587593517697905,1.0
44,4,44004,0.03,0.001,0.5691699604743083,0.5694288213973253,0.5674399636095555,0.5699344758064516,0.057071313879407636,0.6350826163722278
44,4,44004,0.03,0.003,0.5849802371541502,0.5853018372703411,0.5823704192802905,0.5856854838709677,0.04580319480982392,0.669370014623528
44,4,44004,0.03,0.01,0.5928853754940712,0.5931133608298963,0.5916349333207966,0.5933719758064516,0.07350278415310758,0.7154582573361851
44,4,44004,0.03,0.03,0.6007905138339921,0.6009561304836896,0.6001658608333724,0.6009324596774194,0.07076389723030041,0.7484089805665998
44,4,44004,0.03,0.1,0.5968379446640316,0.5968628921384826,0.5968316460442444,0.5969002016129032,0.0537094008694122,0.8063602869885592
44,4,44004,0.03,0.3,0.6007905138339921,0.6007999000124984,0.6007905138339922,0.6008064516129032,0.05627733274342815,0.8669156894563341
44,4,44004,0.03,1.0,0.5849802371541502,0.5849581302337208,0.5849543004452777,0.584929435483871,0.05734682253412707,0.934119366187429
44,4,44004,0.03,3.0,0.5810276679841897,0.5809273840769904,0.5807066916823015,0.5806451612903225,0.047910468954775715,0.9710106417877153
44,4,44004,0.03,10.0,0.5928853754940712,0.5928321459817523,0.5927835857046866,0.5923639112903225,0.037076075246646904,0.9986772486772486
44,5,44005,0.01,0.001,0.5826771653543307,0.5831473214285714,0.581405472636816,0.5836693548387096,0.0632448355203532,0.637806558280518
44,5,44005,0.01,0.003,0.6023622047244095,0.6026785714285714,0.6018623418949329,0.6030745967741935,0.06554809841033973,0.674510884541196
44,5,44005,0.01,0.01,0.6181102362204725,0.6184895833333333,0.6173926547092166,0.6186995967741935,0.056608155885335666,0.7309451639570129
44,5,44005,0.01,0.03,0.6023622047244095,0.6025545634920635,0.6022080600393853,0.602570564516129,0.03928973750436157,0.7808073849545328
44,5,44005,0.01,0.1,0.5984251968503937,0.5985243055555556,0.5984002976190477,0.5984122983870968,0.050541435173832534,0.8477886470101956
44,5,44005,0.01,0.3,0.5826771653543307,0.5826512896825398,0.5826512896825398,0.5822832661290323,0.05089706827380926,0.9094516395701295
44,5,44005,0.01,1.0,0.5826771653543307,0.5828993055555556,0.5824441687344912,0.5826612903225806,0.05829513128331458,0.9448952879581152
44,5,44005,0.01,3.0,0.5826771653543307,0.5829613095238095,0.5822627691925775,0.5825352822580645,0.08268420934399591,0.9842587489666574
44,5,44005,0.01,10.0,0.5787401574803149,0.5790550595238095,0.5782105998292854,0.5787550403225806,0.05373619783980938,1.0
