variant,seed,fold_a,fold_b,branch,side,mean_abs_cosine,minimum_abs_cosine,mean_principal_angle_deg,maximum_principal_angle_deg
covariance_ledoit_wolf,42,3,4,bp,left,0.8919895896803993,0.8919895896803993,26.875667561456044,26.875667561456044
covariance_ledoit_wolf,42,3,4,bp,right,0.8373481329319374,0.8373481329319374,33.13886058752936,33.13886058752936
covariance_ledoit_wolf,42,3,4,erd,left,0.6571322944050775,0.35862163044020184,46.300322362166554,68.98443026170065
covariance_ledoit_wolf,42,3,4,erd,right,0.5081204610104448,0.06401135818231629,56.40613695693697,86.32991008196694
covariance_ledoit_wolf,42,3,5,bp,left,0.5678132152026092,0.5678132152026092,55.40212505396663,55.40212505396663
covariance_ledoit_wolf,42,3,5,bp,right,0.30166793978591705,0.30166793978591705,72.44218897234623,72.44218897234623
covariance_ledoit_wolf,42,3,5,erd,left,0.787469288039377,0.5863894604711557,36.16543148990436,54.098790211156036
covariance_ledoit_wolf,42,3,5,erd,right,0.609192376339213,0.44957833902129624,50.473992342201704,63.283366161057906
covariance_ledoit_wolf,42,4,5,bp,left,0.6078805797959215,0.6078805797959215,52.56358764726034,52.56358764726034
covariance_ledoit_wolf,42,4,5,bp,right,0.05825103533259844,0.05825103533259844,86.66057115541716,86.66057115541716
covariance_ledoit_wolf,42,4,5,erd,left,0.7665251774506392,0.4937859112030439,36.20785177376346,60.41027623013203
covariance_ledoit_wolf,42,4,5,erd,right,0.36490643419136476,0.00013607587882625007,65.82994642118005,89.99220342642566
covariance_ledoit_wolf,43,1,2,bp,left,0.8992147587402963,0.8992147587402963,25.944958025088848,25.944958025088848
covariance_ledoit_wolf,43,1,2,bp,right,0.6813048382015525,0.6813048382015525,47.054307961026964,47.054307961026964
covariance_ledoit_wolf,43,1,2,erd,left,0.6329536569052646,0.10166296362829617,43.32838855887471,84.16506062957778
covariance_ledoit_wolf,43,1,2,erd,right,0.6832263785082233,0.4712863177402726,45.83778011931696,61.88217335683185
covariance_ledoit_wolf,43,1,3,bp,left,0.561048337534749,0.561048337534749,55.87167168766277,55.87167168766277
covariance_ledoit_wolf,43,1,3,bp,right,0.4478477387040164,0.4478477387040164,63.394319272533316,63.394319272533316
covariance_ledoit_wolf,43,1,3,erd,left,0.8187345023396531,0.6432414752497773,31.932465791460046,49.96604498565147
covariance_ledoit_wolf,43,1,3,erd,right,0.8540149386160724,0.7778608540135473,30.24257863626181,38.934867666885346
covariance_ledoit_wolf,43,1,4,bp,left,0.7756188908843087,0.7756188908843087,39.13882290583379,39.13882290583379
covariance_ledoit_wolf,43,1,4,bp,right,0.6112023469642411,0.6112023469642411,52.32350865676065,52.32350865676065
covariance_ledoit_wolf,43,1,4,erd,left,0.6725457932869648,0.17780329824928137,41.69375559619431,79.75816579086401
covariance_ledoit_wolf,43,1,4,erd,right,0.48230565483734106,0.0163153900275803,58.43631309074266,89.06515553250243
covariance_ledoit_wolf,43,1,5,bp,left,0.7077455557054215,0.7077455557054215,44.9482176722885,44.9482176722885
covariance_ledoit_wolf,43,1,5,bp,right,0.5204588436787594,0.5204588436787594,58.63696514220752,58.63696514220752
covariance_ledoit_wolf,43,1,5,erd,left,0.753143981107092,0.5554489722698001,37.67771791440861,56.258355555780945
covariance_ledoit_wolf,43,1,5,erd,right,0.6840718581942178,0.33653629238885685,44.00637746199802,70.33401380248189
covariance_ledoit_wolf,43,2,3,bp,left,0.559694043912183,0.559694043912183,55.965358518178526,55.965358518178526
covariance_ledoit_wolf,43,2,3,bp,right,0.8840405673144375,0.8840405673144375,27.86631654301621,27.86631654301621
covariance_ledoit_wolf,43,2,3,erd,left,0.8109265820886432,0.5775717409233967,32.86000878927445,54.720067554144975
