c,seed,fold,training_cases,validation_cases,training_accuracy,accuracy,balanced_accuracy,macro_f1,confusion_matrix
1.5,43,4,253,63,0.924901185770751,0.5396825396825397,0.5393145161290323,0.53921815889029,"[[18, 14], [15, 16]]"
2.0,43,4,253,63,0.9407114624505929,0.5555555555555556,0.5554435483870968,0.5554435483870968,"[[18, 14], [14, 17]]"
2.5,43,4,253,63,0.9446640316205533,0.5396825396825397,0.5393145161290323,0.53921815889029,"[[18, 14], [15, 16]]"
3.0,43,4,253,63,0.9604743083003953,0.5396825396825397,0.5393145161290323,0.53921815889029,"[[18, 14], [15, 16]]"
4.0,43,4,253,63,0.9644268774703557,0.5396825396825397,0.5393145161290323,0.53921815889029,"[[18, 14], [15, 16]]"
5.0,43,4,253,63,0.9762845849802372,0.5555555555555556,0.5549395161290323,0.5545454545454545,"[[19, 13], [15, 16]]"
1.0,43,5,254,62,0.9173228346456693,0.6290322580645161,0.6290322580645161,0.6289357272963831,"[[19, 12], [11, 20]]"
1.25,43,5,254,62,0.9251968503937008,0.6290322580645161,0.6290322580645161,0.6289357272963831,"[[19, 12], [11, 20]]"
1.5,43,5,254,62,0.937007874015748,0.6290322580645161,0.6290322580645161,0.6289357272963831,"[[19, 12], [11, 20]]"
2.0,43,5,254,62,0.9488188976377953,0.6290322580645161,0.6290322580645161,0.6289357272963831,"[[19, 12], [11, 20]]"
2.5,43,5,254,62,0.9488188976377953,0.6290322580645161,0.6290322580645161,0.6289357272963831,"[[19, 12], [11, 20]]"
3.0,43,5,254,62,0.9645669291338582,0.6290322580645161,0.6290322580645161,0.6289357272963831,"[[19, 12], [11, 20]]"
4.0,43,5,254,62,0.9803149606299213,0.6290322580645161,0.6290322580645161,0.6289357272963831,"[[19, 12], [11, 20]]"
5.0,43,5,254,62,0.9881889763779528,0.6290322580645161,0.6290322580645161,0.6289357272963831,"[[19, 12], [11, 20]]"
1.0,44,1,252,64,0.9087301587301587,0.6875,0.6875,0.6871945259042034,"[[21, 11], [9, 23]]"
1.25,44,1,252,64,0.9126984126984127,0.703125,0.703125,0.703052503052503,"[[22, 10], [9, 23]]"
1.5,44,1,252,64,0.9206349206349206,0.71875,0.71875,0.7184750733137829,"[[22, 10], [8, 24]]"
2.0,44,1,252,64,0.9246031746031746,0.703125,0.703125,0.7024712503058479,"[[21, 11], [8, 24]]"
2.5,44,1,252,64,0.9325396825396826,0.71875,0.71875,0.7176470588235293,"[[21, 11], [7, 25]]"
3.0,44,1,252,64,0.9523809523809523,0.703125,0.703125,0.7024712503058479,"[[21, 11], [8, 24]]"
4.0,44,1,252,64,0.9642857142857143,0.71875,0.71875,0.7184750733137829,"[[22, 10], [8, 24]]"
5.0,44,1,252,64,0.9682539682539683,0.703125,0.703125,0.703052503052503,"[[22, 10], [9, 23]]"
1.0,44,2,252,64,0.8928571428571429,0.703125,0.703125,0.7013018914271678,"[[20, 12], [7, 25]]"
1.25,44,2,252,64,0.8928571428571429,0.6875,0.6875,0.6862745098039216,"[[20, 12], [8, 24]]"
1.5,44,2,252,64,0.9007936507936508,0.6875,0.6875,0.6862745098039216,"[[20, 12], [8, 24]]"
2.0,44,2,252,64,0.9246031746031746,0.671875,0.671875,0.6711524345485687,"[[20, 12], [9, 23]]"
2.5,44,2,252,64,0.9285714285714286,0.671875,0.671875,0.6711524345485687,"[[20, 12], [9, 23]]"
3.0,44,2,252,64,0.9404761904761905,0.671875,0.671875,0.6711524345485687,"[[20, 12], [9, 23]]"
4.0,44,2,252,64,0.9603174603174603,0.65625,0.65625,0.6549019607843137,"[[19, 13], [9, 23]]"
5.0,44,2,252,64,0.9722222222222222,0.640625,0.640625,0.6384180790960452,"[[18, 14], [9, 23]]"
1.0,44,3,253,63,0.8932806324110671,0.6507936507936508,0.6512096774193548,0.6507056451612903,"[[20, 12], [10, 21]]"
1.25,44,3,253,63,0.9011857707509882,0.6666666666666666,0.6668346774193548,0.6666666666666667,"[[21, 11], [10, 21]]"
1.5,44,3,253,63,0.9011857707509882,0.6666666666666666,0.6668346774193548,0.6666666666666667,"[[21, 11], [10, 21]]"
2.0,44,3,253,63,0.9011857707509882,0.6666666666666666,0.6668346774193548,0.6666666666666667,"[[21, 11], [10, 21]]"
2.5,44,3,253,63,0.9090909090909091,0.6825396825396826,0.6824596774193548,0.6824596774193548,"[[22, 10], [10, 21]]"
3.0,44,3,253,63,0.9130434782608695,0.6666666666666666,0.6668346774193548,0.6666666666666667,"[[21, 11], [10, 21]]"
4.0,44,3,253,63,0.932806324110672,0.6666666666666666,0.6668346774193548,0.6666666666666667,"[[21, 11], [10, 21]]"
5.0,44,3,253,63,0.9446640316205533,0.6825396825396826,0.6829637096774194,0.6824596774193548,"[[21, 11], [9, 22]]"
1.0,44,4,253,63,0.8932806324110671,0.6666666666666666,0.6673387096774194,0.6663303909205549,"[[20, 12], [9, 22]]"
1.25,44,4,253,63,0.9169960474308301,0.6984126984126984,0.6985887096774194,0.6984126984126984,"[[22, 10], [9, 22]]"
1.5,44,4,253,63,0.924901185770751,0.6825396825396826,0.6829637096774194,0.6824596774193548,"[[21, 11], [9, 22]]"
2.0,44,4,253,63,0.932806324110672,0.6666666666666666,0.6668346774193548,0.6666666666666667,"[[21, 11], [10, 21]]"
2.5,44,4,253,63,0.9367588932806324,0.6825396825396826,0.6829637096774194,0.6824596774193548,"[[21, 11], [9, 22]]"
3.0,44,4,253,63,0.9407114624505929,0.6825396825396826,0.6829637096774194,0.6824596774193548,"[[21, 11], [9, 22]]"
4.0,44,4,253,63,0.9683794466403162,0.6666666666666666,0.6668346774193548,0.6666666666666667,"[[21, 11], [10, 21]]"
5.0,44,4,253,63,0.9723320158102767,0.6666666666666666,0.6668346774193548,0.6666666666666667,"[[21, 11], [10, 21]]"
1.0,44,5,254,62,0.9094488188976378,0.5645161290322581,0.564516129032258,0.5644028103044496,"[[18, 13], [14, 17]]"
1.25,44,5,254,62,0.9330708661417323,0.5483870967741935,0.5483870967741935,0.5479166666666666,"[[18, 13], [15, 16]]"
1.5,44,5,254,62,0.937007874015748,0.5483870967741935,0.5483870967741935,0.5479166666666666,"[[18, 13], [15, 16]]"
2.0,44,5,254,62,0.9409448818897638,0.5483870967741935,0.5483870967741935,0.5479166666666666,"[[18, 13], [15, 16]]"
2.5,44,5,254,62,0.9448818897637795,0.5645161290322581,0.564516129032258,0.5634941329856584,"[[19, 12], [15, 16]]"
3.0,44,5,254,62,0.9448818897637795,0.5806451612903226,0.5806451612903225,0.5802083333333332,"[[19, 12], [14, 17]]"
4.0,44,5,254,62,0.9488188976377953,0.5645161290322581,0.564516129032258,0.5634941329856584,"[[19, 12], [15, 16]]"
5.0,44,5,254,62,0.9566929133858267,0.5645161290322581,0.564516129032258,0.5634941329856584,"[[19, 12], [15, 16]]"
