outer_seed,outer_fold,inner_seed,inner_fold,c,training_accuracy,accuracy,balanced_accuracy,macro_f1,confusion_matrix
42,2,42002,4,0.003,0.6631578947368421,0.5161290322580645,0.5161290322580645,0.515625,"[[17, 14], [16, 15]]"
42,2,42002,1,0.01,0.7021276595744681,0.484375,0.484375,0.4812085482682388,"[[13, 19], [14, 18]]"
42,2,42002,2,0.01,0.6507936507936508,0.5714285714285714,0.5720766129032258,0.5709962168978562,"[[17, 15], [12, 19]]"
42,2,42002,3,0.01,0.7037037037037037,0.5079365079365079,0.5055443548387097,0.4952184026880331,"[[21, 11], [20, 11]]"
42,2,42002,4,0.01,0.6789473684210526,0.5806451612903226,0.5806451612903225,0.5802083333333332,"[[19, 12], [14, 17]]"
42,2,42002,1,0.03,0.7553191489361702,0.46875,0.46875,0.4682306940371457,"[[14, 18], [16, 16]]"
42,2,42002,2,0.03,0.7407407407407407,0.5873015873015873,0.5877016129032258,0.5871975806451613,"[[18, 14], [12, 19]]"
42,2,42002,3,0.03,0.746031746031746,0.5238095238095238,0.5221774193548387,0.5178571428571428,"[[20, 12], [18, 13]]"
42,2,42002,4,0.03,0.7421052631578947,0.5967741935483871,0.596774193548387,0.5958279009126466,"[[20, 11], [14, 17]]"
42,2,42002,1,0.1,0.8191489361702128,0.484375,0.484375,0.48424908424908425,"[[16, 16], [17, 15]]"
42,2,42002,2,0.1,0.798941798941799,0.6507936507936508,0.6522177419354839,0.6485801217038539,"[[18, 14], [8, 23]]"
42,2,42002,3,0.1,0.8253968253968254,0.5714285714285714,0.5700604838709677,0.5675057208237986,"[[21, 11], [16, 15]]"
42,2,42002,4,0.1,0.8105263157894737,0.5967741935483871,0.5967741935483871,0.5966692688004163,"[[19, 12], [13, 18]]"
42,2,42002,1,0.3,0.8617021276595744,0.546875,0.546875,0.5458771715194519,"[[19, 13], [16, 16]]"
42,2,42002,2,0.3,0.8518518518518519,0.6507936507936508,0.6517137096774194,0.65,"[[19, 13], [9, 22]]"
42,2,42002,3,0.3,0.9153439153439153,0.5555555555555556,0.5544354838709677,0.552738336713996,"[[20, 12], [16, 15]]"
42,2,42002,4,0.3,0.868421052631579,0.6451612903225806,0.6451612903225807,0.6436781609195402,"[[22, 9], [13, 18]]"
42,2,42002,1,1.0,0.9202127659574468,0.5625,0.5625,0.5625,"[[18, 14], [14, 18]]"
42,2,42002,2,1.0,0.9417989417989417,0.6507936507936508,0.6512096774193548,0.6507056451612903,"[[20, 12], [10, 21]]"
42,2,42002,3,1.0,0.9576719576719577,0.6190476190476191,0.6184475806451613,0.6181818181818182,"[[21, 11], [13, 18]]"
42,2,42002,4,1.0,0.9105263157894737,0.6774193548387096,0.6774193548387097,0.6760710553814002,"[[23, 8], [12, 19]]"
42,2,42002,1,3.0,0.973404255319149,0.609375,0.609375,0.6085148030340103,"[[18, 14], [11, 21]]"
42,2,42002,2,3.0,0.9735449735449735,0.6507936507936508,0.6512096774193548,0.6507056451612903,"[[20, 12], [10, 21]]"
42,2,42002,3,3.0,0.9788359788359788,0.6507936507936508,0.6502016129032258,0.65,"[[22, 10], [12, 19]]"
42,2,42002,4,3.0,0.9578947368421052,0.6129032258064516,0.6129032258064515,0.6112852664576802,"[[21, 10], [14, 17]]"
42,2,42002,1,10.0,1.0,0.609375,0.609375,0.6085148030340103,"[[18, 14], [11, 21]]"
42,2,42002,2,10.0,1.0,0.6825396825396826,0.6824596774193548,0.6824596774193548,"[[22, 10], [10, 21]]"
42,2,42002,3,10.0,1.0,0.6507936507936508,0.6502016129032258,0.65,"[[22, 10], [12, 19]]"
42,2,42002,4,10.0,0.9947368421052631,0.6290322580645161,0.6290322580645161,0.628161668839635,"[[21, 10], [13, 18]]"
42,3,42003,1,0.001,0.6402116402116402,0.578125,0.578125,0.5755342667649226,"[[16, 16], [11, 21]]"
