pipeline,representation,classifier,seed,fold,training_cases,validation_cases,feature_count,training_accuracy,fit_seconds,accuracy,balanced_accuracy,macro_f1,confusion_matrix
fourier_pca__logistic,fourier_pca,logistic,44,2,252,64,20,0.6468253968253969,0.000500582973472774,0.578125,0.578125,0.5755342667649226,"[[21, 11], [16, 16]]"
fourier_pca__fisher,fourier_pca,fisher,44,2,252,64,20,0.6507936507936508,0.0011610420187935233,0.5625,0.5625,0.5607843137254902,"[[20, 12], [16, 16]]"
current__logistic,current,logistic,44,3,253,63,196,0.8932806324110671,0.008898917003534734,0.6507936507936508,0.6512096774193548,0.6507056451612903,"[[20, 12], [10, 21]]"
current__fisher,current,fisher,44,3,253,63,196,0.7865612648221344,0.004943749983794987,0.5555555555555556,0.5569556451612903,0.552738336713996,"[[15, 17], [11, 20]]"
terminal__logistic,terminal,logistic,44,3,253,63,252,0.8142292490118577,0.009840582963079214,0.6666666666666666,0.6678427419354839,0.6653174803946369,"[[19, 13], [8, 23]]"
terminal__fisher,terminal,fisher,44,3,253,63,252,0.7865612648221344,0.007071834057569504,0.6666666666666666,0.6678427419354839,0.6653174803946369,"[[19, 13], [8, 23]]"
combined__logistic,combined,logistic,44,3,253,63,448,0.9486166007905138,0.02272304194048047,0.6507936507936508,0.6532258064516129,0.6435185185185186,"[[16, 16], [6, 25]]"
combined__fisher,combined,fisher,44,3,253,63,448,0.8932806324110671,0.018215624964796007,0.6666666666666666,0.6683467741935484,0.6636155606407322,"[[18, 14], [7, 24]]"
fourier_pca__logistic,fourier_pca,logistic,44,3,253,63,20,0.6561264822134387,0.0004622500855475664,0.5555555555555556,0.5549395161290323,0.5545454545454545,"[[19, 13], [15, 16]]"
fourier_pca__fisher,fourier_pca,fisher,44,3,253,63,20,0.6679841897233202,0.0011764579685404897,0.5555555555555556,0.5549395161290323,0.5545454545454545,"[[19, 13], [15, 16]]"
current__logistic,current,logistic,44,4,253,63,196,0.8932806324110671,0.009080957970581949,0.6666666666666666,0.6673387096774194,0.6663303909205549,"[[20, 12], [9, 22]]"
current__fisher,current,fisher,44,4,253,63,196,0.782608695652174,0.0050804580096155405,0.7142857142857143,0.7152217741935484,0.7136363636363636,"[[21, 11], [7, 24]]"
