seed,fold,bin_ms,window_ms,samples_per_bin,bins_per_window,training_cases,validation_cases,accuracy,balanced_accuracy,macro_f1,mean_log_loss,model_fit_seconds
43,4,20,400,2,20,253,63,0.8888888888888888,0.8901209677419355,0.8884391601315457,0.2750528174697302,0.010059665888547897
43,4,50,400,5,8,253,63,0.8888888888888888,0.8901209677419355,0.8884391601315457,0.2750528174697302,0.010059665888547897
43,4,100,400,10,4,253,63,0.8888888888888888,0.8901209677419355,0.8884391601315457,0.2750528174697302,0.010059665888547897
43,4,10,500,1,50,253,63,0.7777777777777778,0.7782258064516129,0.7777217741935484,0.4115915777988694,0.010237040929496288
43,4,20,500,2,25,253,63,0.7777777777777778,0.7782258064516129,0.7777217741935484,0.4115915777988694,0.010237040929496288
43,4,50,500,5,10,253,63,0.7777777777777778,0.7782258064516129,0.7777217741935484,0.4115915777988694,0.010237040929496288
43,4,100,500,10,5,253,63,0.7777777777777778,0.7782258064516129,0.7777217741935484,0.4115915777988694,0.010237040929496288
43,5,10,200,1,20,254,62,0.8064516129032258,0.8064516129032258,0.80625,0.4064363842015272,0.009148500161245465
43,5,20,200,2,10,254,62,0.8064516129032258,0.8064516129032258,0.80625,0.4064363842015272,0.009148500161245465
43,5,50,200,5,4,254,62,0.8064516129032258,0.8064516129032258,0.80625,0.4064363842015272,0.009148500161245465
43,5,100,200,10,2,254,62,0.8064516129032258,0.8064516129032258,0.80625,0.4064363842015272,0.009148500161245465
43,5,10,300,1,30,254,62,0.8225806451612904,0.8225806451612903,0.8225344782721832,0.4160246621732389,0.009700374910607934
43,5,20,300,2,15,254,62,0.8225806451612904,0.8225806451612903,0.8225344782721832,0.4160246621732389,0.009700374910607934
43,5,50,300,5,6,254,62,0.8225806451612904,0.8225806451612903,0.8225344782721832,0.4160246621732389,0.009700374910607934
43,5,100,300,10,3,254,62,0.8225806451612904,0.8225806451612903,0.8225344782721832,0.4160246621732389,0.009700374910607934
43,5,10,400,1,40,254,62,0.8548387096774194,0.8548387096774193,0.8544980443285528,0.3632261549038589,0.009942082921043038
43,5,20,400,2,20,254,62,0.8548387096774194,0.8548387096774193,0.8544980443285528,0.3632261549038589,0.009942082921043038
43,5,50,400,5,8,254,62,0.8548387096774194,0.8548387096774193,0.8544980443285528,0.3632261549038589,0.009942082921043038
43,5,100,400,10,4,254,62,0.8548387096774194,0.8548387096774193,0.8544980443285528,0.3632261549038589,0.009942082921043038
43,5,10,500,1,50,254,62,0.8548387096774194,0.8548387096774193,0.8544980443285528,0.3431290132296175,0.010049165925011039
43,5,20,500,2,25,254,62,0.8548387096774194,0.8548387096774193,0.8544980443285528,0.3431290132296175,0.010049165925011039
43,5,50,500,5,10,254,62,0.8548387096774194,0.8548387096774193,0.8544980443285528,0.3431290132296175,0.010049165925011039
43,5,100,500,10,5,254,62,0.8548387096774194,0.8548387096774193,0.8544980443285528,0.3431290132296175,0.010049165925011039
44,1,10,200,1,20,252,64,0.78125,0.78125,0.7777777777777778,0.4760702883453732,0.009114874992519617
44,1,20,200,2,10,252,64,0.78125,0.78125,0.7777777777777778,0.4760702883453732,0.009114874992519617
44,1,50,200,5,4,252,64,0.78125,0.78125,0.7777777777777778,0.4760702883453732,0.009114874992519617
44,1,100,200,10,2,252,64,0.78125,0.78125,0.7777777777777778,0.4760702883453732,0.009114874992519617
44,1,10,300,1,30,252,64,0.796875,0.796875,0.7964276975776854,0.4068785841300547,0.009879042161628604
44,1,20,300,2,15,252,64,0.796875,0.796875,0.7964276975776854,0.4068785841300547,0.009879042161628604
44,1,50,300,5,6,252,64,0.796875,0.796875,0.7964276975776854,0.4068785841300547,0.009879042161628604
44,1,100,300,10,3,252,64,0.796875,0.796875,0.7964276975776854,0.4068785841300547,0.009879042161628604
44,1,10,400,1,40,252,64,0.828125,0.828125,0.8277465133349645,0.30683242750201767,0.010069417068734765
44,1,20,400,2,20,252,64,0.828125,0.828125,0.8277465133349645,0.30683242750201767,0.010069417068734765
44,1,50,400,5,8,252,64,0.828125,0.828125,0.8277465133349645,0.30683242750201767,0.010069417068734765
44,1,100,400,10,4,252,64,0.828125,0.828125,0.8277465133349645,0.30683242750201767,0.010069417068734765
44,1,10,500,1,50,252,64,0.765625,0.765625,0.7627872498146775,0.4036879262001482,0.01022829208523035
44,1,20,500,2,25,252,64,0.765625,0.765625,0.7627872498146775,0.4036879262001482,0.01022829208523035
44,1,50,500,5,10,252,64,0.765625,0.765625,0.7627872498146775,0.4036879262001482,0.01022829208523035
44,1,100,500,10,5,252,64,0.765625,0.765625,0.7627872498146775,0.4036879262001482,0.01022829208523035
44,2,10,200,1,20,252,64,0.765625,0.765625,0.7651088818204062,0.5128501525772486,0.009262375067919493
44,2,20,200,2,10,252,64,0.765625,0.765625,0.7651088818204062,0.5128501525772486,0.009262375067919493
44,2,50,200,5,4,252,64,0.765625,0.765625,0.7651088818204062,0.5128501525772486,0.009262375067919493
44,2,100,200,10,2,252,64,0.765625,0.765625,0.7651088818204062,0.5128501525772486,0.009262375067919493
