variant,hidden_components,covariance_shrinkage,session,held_month,decision,diagnostic_decision,hidden_state_kld_to_severe,output_state_kld_to_severe
hidden_5_shrinkage_0.10,5,0.1,indy_20161006_02,2016-10,pass,warning,0.026799630476145968,0.018027085352086743
hidden_5_shrinkage_0.10,5,0.1,indy_20161007_02,2016-10,pass,pass,0.055526553995249125,0.0435769276481284
hidden_5_shrinkage_0.10,5,0.1,indy_20161011_03,2016-10,pass,warning,0.13034860529919756,0.11230131728449275
hidden_5_shrinkage_0.10,5,0.1,indy_20161013_03,2016-10,abstain,abstain,1.944580446785583,1.5604017935942793
hidden_5_shrinkage_0.10,5,0.1,indy_20161014_04,2016-10,pass,pass,0.03509827579309261,0.02565080050694481
hidden_5_shrinkage_0.10,5,0.1,indy_20161017_02,2016-10,pass,pass,0.04933487839330865,0.01720955487378972
hidden_5_shrinkage_0.10,5,0.1,indy_20161024_03,2016-10,pass,pass,0.0758879610573686,0.05576497980482771
hidden_5_shrinkage_0.10,5,0.1,indy_20161025_04,2016-10,pass,pass,0.01568789172767335,0.009201395060985208
hidden_5_shrinkage_0.10,5,0.1,indy_20161026_03,2016-10,pass,pass,0.05653270421028537,0.015057407895385563
hidden_5_shrinkage_0.10,5,0.1,indy_20161027_03,2016-10,pass,pass,0.04488395737537915,0.009092090660499789
hidden_5_shrinkage_0.20,5,0.2,indy_20161005_06,2016-10,pass,pass,0.025327359796646323,0.015106491501420826
hidden_5_shrinkage_0.20,5,0.2,indy_20161006_02,2016-10,pass,warning,0.02379304772874238,0.015438084209613154
hidden_5_shrinkage_0.20,5,0.2,indy_20161007_02,2016-10,pass,pass,0.05003156651240545,0.04296073472381251
hidden_5_shrinkage_0.20,5,0.2,indy_20161011_03,2016-10,pass,warning,0.12467619560049142,0.11405874514846032
hidden_5_shrinkage_0.20,5,0.2,indy_20161013_03,2016-10,abstain,abstain,1.777779394615113,1.533105903385927
hidden_5_shrinkage_0.20,5,0.2,indy_20161014_04,2016-10,pass,pass,0.033901202042513366,0.02522081765303736
hidden_5_shrinkage_0.20,5,0.2,indy_20161017_02,2016-10,pass,pass,0.04767719456844451,0.01725081578678264
hidden_5_shrinkage_0.20,5,0.2,indy_20161024_03,2016-10,pass,pass,0.07383688755887366,0.056378503441652864
hidden_5_shrinkage_0.20,5,0.2,indy_20161025_04,2016-10,pass,pass,0.01489708630545997,0.009031631063340683
hidden_5_shrinkage_0.20,5,0.2,indy_20161026_03,2016-10,pass,pass,0.05063239037404076,0.015140732432627995
