variant,family,covariance,trial_trace_normalization,f2_components_per_class,fusion,seed,evaluated_cases,accuracy,balanced_accuracy,macro_f1,mean_log_loss,confusion_matrix
cov_oas__trial_on__f2_3__fusion_lda,combination_ablation,oas,1,3,lda,42,316,0.8322784810126582,0.8324920882906702,0.8321423202204961,0.34957722003163955,"[[127, 32], [21, 136]]"
cov_oas__trial_on__f2_3__fusion_lda,combination_ablation,oas,1,3,lda,43,316,0.8512658227848101,0.851400072106718,0.8512285762939367,0.3093788639283321,"[[132, 27], [20, 137]]"
cov_oas__trial_on__f2_3__fusion_lda,combination_ablation,oas,1,3,lda,44,316,0.8607594936708861,0.8608740936586148,0.8607371794871794,0.3242015156847625,"[[134, 25], [19, 138]]"
cov_oas__trial_on__f2_3__fusion_soft_vote,combination_ablation,oas,1,3,soft_vote,42,316,0.8354430379746836,0.8355966830909747,0.8353836906431578,0.4226456527227949,"[[129, 30], [22, 135]]"
cov_oas__trial_on__f2_3__fusion_soft_vote,combination_ablation,oas,1,3,soft_vote,43,316,0.8386075949367089,0.8387012778912791,0.8385930473624645,0.4123071926874889,"[[131, 28], [23, 134]]"
cov_oas__trial_on__f2_3__fusion_soft_vote,combination_ablation,oas,1,3,soft_vote,44,316,0.8069620253164557,0.8070944998597925,0.8069136841261733,0.4292792939358972,"[[125, 34], [27, 130]]"
cov_oas__trial_on__f2_2__fusion_lda,combination_ablation,oas,1,2,lda,42,316,0.8575949367088608,0.8576893802828186,0.8575821006139394,0.3225734781838733,"[[134, 25], [20, 137]]"
cov_oas__trial_on__f2_2__fusion_lda,combination_ablation,oas,1,2,lda,43,316,0.8639240506329114,0.8639386291711734,0.8639226878974513,0.2992435008236546,"[[137, 22], [21, 136]]"
cov_oas__trial_on__f2_2__fusion_lda,combination_ablation,oas,1,2,lda,44,316,0.8449367088607594,0.8449905860673798,0.8449351559761654,0.31098076591376433,"[[133, 26], [23, 134]]"
cov_oas__trial_on__f2_2__fusion_soft_vote,combination_ablation,oas,1,2,soft_vote,42,316,0.8449367088607594,0.8450306453551256,0.8449227317796228,0.4174155355773553,"[[132, 27], [22, 135]]"
cov_oas__trial_on__f2_2__fusion_soft_vote,combination_ablation,oas,1,2,soft_vote,43,316,0.8354430379746836,0.8354364459399912,0.8354364459399912,0.41214945095394073,"[[133, 26], [26, 131]]"
cov_oas__trial_on__f2_2__fusion_soft_vote,combination_ablation,oas,1,2,soft_vote,44,316,0.810126582278481,0.8101590353723511,0.810126582278481,0.42346139428459595,"[[128, 31], [29, 128]]"
cov_oas__trial_on__f2_1__fusion_lda,combination_ablation,oas,1,1,lda,42,316,0.8512658227848101,0.8512798942434804,0.8512643332832608,0.328660599051694,"[[135, 24], [23, 134]]"
cov_oas__trial_on__f2_1__fusion_lda,combination_ablation,oas,1,1,lda,43,316,0.8734177215189873,0.873452710010816,0.8734177215189873,0.28910679252127236,"[[138, 21], [19, 138]]"
cov_oas__trial_on__f2_1__fusion_lda,combination_ablation,oas,1,1,lda,44,316,0.870253164556962,0.8703881744982574,0.8702206729372639,0.3298880331654825,"[[135, 24], [17, 140]]"
cov_oas__trial_on__f2_1__fusion_soft_vote,combination_ablation,oas,1,1,soft_vote,42,316,0.8544303797468354,0.8545046669070224,0.8544245483315307,0.42571274978226586,"[[134, 25], [21, 136]]"
